Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode
python,https://github.com/mtrogman/regrabarr,4c408a79a743093bdeb44c36653177d50154c0ce,pip,pass,623,162373
python,https://github.com/CarlosMG01/ISW,d0ae55ebd7342476bbbde074925cebbd64f897dd,pip,pass,631,162809
python,https://github.com/gg-master/WeatherHub,57d932da8267c874b3cc19e4678ee704e85b279f,pip,pass,668,164116
python,https://github.com/arminarab1999/CAMERA-COUNTRY,b71cfcd5d94a77f00e2a6b207047f0c3756f16bf,pip,pass,623,162071
python,https://github.com/CristiZZzz27/graph-neural-network,a3098e10515d81829e6922f43987838ac60b7cf4,pip,pass,630,162481
python,https://github.com/yoslatif/philosophize,227d880dfe42712f35c485f338069a71e78fef71,pip,pass,648,162704
python,https://github.com/ellakalininskaja/demoqa,2c335b62ec71b2e1415c427251468b3d5092342d,pip,pass,658,162606
python,https://github.com/pedroermarinho/java-convert,9f7608ad8e4994855747597ffc26598c99d81440,pip,pass,626,162254
python,https://github.com/feller2021/bili_dynamic_wechat_push,23f39ee17e8f66be50aa5963567d6496c96ad56e,pip,pass,626,162422
python,https://github.com/JustFixNYC/nycdb-k8s-loader,9245d56df13063be104144bebf2525d924403bfe,pip,pass,647,163493
python,https://github.com/spcl/dace,70566755555882c2a1ad3275a9c6a2ec93cf1416,pip,pass,1612,309456
python,https://github.com/khalidekhbo2/RoutineRSS,9633acabc086123e73a54324b6964d65ba804b13,pip,pass,624,162135
python,https://github.com/pizdelor/Mnemonic-Phrase-Generator,08e38284ae335ea67ad0000f491ec33ec7e10421,pip,pass,623,162124
python,https://github.com/facebook/sapp,efddea86c88ec257d5365c344d880d910fed2349,pip,pass,816,188559
python,https://github.com/SecurityTapestry-Queen/InsightIDR-FreshService-integration-kit,85061cd9d4a287f69647f61247a99c9b1f756ec7,pip,pass,641,162896
python,https://github.com/medialtemporal/western-electricity,75ca2c11da4b7771d1d023dff5bfa30a601eefd9,pip,pass,624,162191
python,https://github.com/MIKU-7437/gen_zone,f188f1428b029f8b92365f58cb0fa10c44ee3a39,pip,pass,656,163350
python,https://github.com/Nishantdd/vedai-Dotav8,b2e822642f9f61ce3e4f0747c5572952b23954a9,pip,pass,625,162352
python,https://github.com/hil-se/IDAI-720-Assignments,c2673703b2e97987070d876d56d5cb3bcc51716c,pip,pass,632,162286
python,https://github.com/bertranddelvaux/data-web-tc,82e0202a02bce5b6c3115ba82fa2778733ef278a,pip,pass,643,163462
python,https://github.com/zauberzeug/nicegui,3d94df58bec7bdc42cfba9375650ff09e490078f,pip,pass,1179,188149
python,https://github.com/SuperDuperDB/superduperdb,99fd07d9c470b6841fda7c31939f83f2ccdaec60,pip,pass,776,176485
python,https://github.com/Tert0/fastapi-framework,a3a64cb43e6128c9cc9eee5421448cf1e8fbfe28,pip,pass,645,163870
python,https://github.com/domdfcoding/apeye,de93b7f258cd81ae6d1024155e0865d7f8b66c2b,pip,pass,652,164785
python,https://github.com/allan-tulane/fa-23-assignment-01-zdupre18,412be9e7837663bbac9423e668272398c8f91e0f,pip,pass,624,162105
python,https://github.com/kaustuvchatterjee/vskp2,e000acf659f66477582b42c62daf9482f427ca0a,pip,pass,625,162528
python,https://github.com/airbytehq/airbyte,f8182bc18ec1b18cd12a976a38205c76936f6623,pip,pass,3756,405207
python,https://github.com/crashbandicootsthe1/crashbot-server,fd471e5024aec73134f41046ea09d5aee69f43fa,pip,pass,624,162184
python,https://github.com/Amanabhishek2004/test,2ebffee64177716d27812e81c6b00a4ad50effd0,pip,pass,650,162627
python,https://github.com/edsonteliaken/dev,71a3408dec2425203598a8c76d11ed47f31d15c9,pip,pass,633,162143
python,https://github.com/Kuraica153/FastAPI,71739688a92e5c07fc7404c181c201e1965b7a84,pip,pass,634,162298
