Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode,PackageCount,DependencyCount,QuickScanDuration,FullScanDuration,TotalCPUCores,TotalMemory
python,https://github.com/rcy1314/TGTOP,60bea8f83a2ecc8e65ba543fc087c44cf37fecfe,pip,pass,627,162225,1,15,20,76,32,123
python,https://github.com/Aspragas/Slider,193a15b15260702209b64df09af8af656870a69e,pip,pass,633,162160,1,2,11,73,32,123
python,https://github.com/lowQuant/ArrivalsInSouthKorea,c579435d13c2851fb9510aa0da004fed7ea6fe4b,pip,pass,623,162124,1,19,14,86,32,123
python,https://github.com/Timbulimbu/Generic-Api-Project,b12428690989544fb1756613a9ed05785f96d284,pip,pass,635,162217,1,15,17,85,32,123
python,https://github.com/eUgEntOptIc44/dwd-mosmix-stations,793857fcf2c6dd050cb8311272e472fef20ec42f,pip,pass,623,162080,1,65,27,215,32,123
python,https://github.com/aitomatic/openssa,3d26fce55dfda2e44252714e5a82f07c414406bd,pip,pass,697,166037,4,227,54,89,32,123
python,https://github.com/openstack/charm-mysql-router,17595788edd80580624b03a664dd5cdb05bba47f,pip,pass,629,163444,1,46,14,63,32,123
python,https://github.com/Hilmy224/shopping-list,a12b2180c78bc2a8a0f055a3298b1c38d6fa25f6,pip,pass,640,162389,1,14,14,68,32,123
python,https://github.com/nabiilahputri13/shopping-list,f887cd3a725cd0cee3a0e4882fd23f317867aa28,pip,pass,641,162347,1,14,14,71,32,123
python,https://github.com/brainupgrade-in/configmap,b63918023446711c66e3918d3a95e3abb1676475,pip,pass,623,162091,1,15,10,62,32,123
python,https://github.com/aiidateam/aiida-optimade,b21e6bc52a390b4546b39353dac9f55a80b0e5c7,pip,pass,681,167087,1,120,58,732,32,123
python,https://github.com/hatefr/chatbot,728a26a61fd588d686fb32b82df762906fd77ebb,pip,pass,627,162252,1,110,30,211,32,123
python,https://github.com/YUANTTX/seqmofo,60694a0473a220241675a0f19d3fc0a716d2bbc0,pip,pass,632,162164,1,1,9,62,32,123
python,https://github.com/RomeoXXIV/FirstDjangoProject,ec0ca6f04139f1ed0ea2f804cb12066168a3721d,pip,pass,627,162124,1,4,13,72,32,123
python,https://github.com/huttadam/CodAcaRepo2023-24,b5dc28baa617301d7dd693b4bf01dc7f5737abb9,pip,pass,631,162134,1,14,11,73,32,123
python,https://github.com/Yihengxiong6/sphinx_api_sidebar,01b91c618a5b443d5326d6e2e6d9777957d6cdcf,pip,pass,626,162109,1,1,10,61,32,123
python,https://github.com/gimezi/Project_ssafy,c51f191d6302f579763751259d92c1fa6d12061b,pip,pass,641,162340,1,23,19,87,32,123
python,https://github.com/divieurora/shopping_list,5510fff1d3028560c6fb1cfaffc3aeaec6c1286e,pip,pass,641,162401,1,14,14,75,32,123
python,https://github.com/NuChraee/shopping_list,3585951676f8a8109d3572f88801a2964a9f869a,pip,pass,641,162418,1,14,14,75,32,123
python,https://github.com/indiraarh/shopping_list,617f00860d2cb09b1c5b55d5733279df2fa22b4d,pip,pass,641,162359,1,14,14,75,32,123
python,https://github.com/SresthArora/LMS,d746d7177986d55f154b5315cc78e536c1d00560,pip,pass,1966,432702,1,8,23,87,32,123
python,https://github.com/AIOps-Lab-NKU/PSqueeze,7615704383b41d5d1e42f621da3ef0cedaf406f0,pip,pass,659,165771,1,25,22,170,32,123
python,https://github.com/tjdharani/LLM-Apps,f399a64856b4ec20b8bccee1fdb83b7cc649d60e,pip,pass,625,162176,1,84,21,108,32,123
python,https://github.com/devanops77/bike,dac05bdbaa8cd57534d714a3fd06d4685208d46e,pip,pass,629,162248,1,46,19,136,32,123
python,https://github.com/tom1299/open-ai-test,778ede526a86d64730360d57d548f7850c67be6b,pip,pass,637,162637,1,14,10,60,32,123
python,https://github.com/ThomasDepresle/mon-nouveau-blog,ed48523e6262252fcf45cf7f7b239169466daed5,pip,pass,637,162291,1,4,14,72,32,123
python,https://github.com/JamesTumbelaka/shopping-list,366b2fe616e06e71f524ab626b6e042cbd0e494a,pip,pass,641,162410,1,14,14,69,32,123
