Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode,PackageCount,DependencyCount,QuickScanDuration,FullScanDuration,TotalCPUCores,TotalMemory
python,https://github.com/ymetz/rlhfblender,c8151f260f926a9c56acc4635d1013cf6f262e30,pip,pass,669,167150,2,128,127,301,8,31
python,https://github.com/patricktrainer/entergy-outages,9262cb20a9a2a6b6f3675ddd112e2130265dece4,pip,pass,625,162103,1,16,23,116,8,31
python,https://github.com/itzlayz/Linto,ea71c12ca237db66e3c892450c1f85300d152e5e,pip,pass,637,162461,1,14,18,116,8,31
python,https://github.com/acmaldonado/690K-Final,7382df49c3b9dc5e1714e579076937a5ae07beac,pip,pass,627,162092,1,16,37,140,8,31
python,https://github.com/monoidic/TLDR2,1efa060fcc8ef8666d1ed2c4632c523d2bceef12,pip,pass,623,162286,1,10,20,116,8,31
python,https://github.com/philrod1/hw-python,e4ccd9ee9f27a221b78a7393282b87821e54d74b,pip,pass,641,162394,1,18,21,113,8,31
python,https://github.com/micferna/vm-proxmox,0ed23efe9c7808e47eaa3935ba17ec48a980b327,pip,pass,623,162290,1,19,20,116,8,31
python,https://github.com/FAIRmat-NFDI/nomad-measurements,8326872c40ec41cdbd4e5ca82ae40aa4abd47b86,pip,pass,634,163593,1,108,107,708,8,31
python,https://github.com/mill413/yolo,3dd5e8e975354605ba579e139ece24fbc8d8e686,pip,pass,742,177612,1,52,83,485,8,31
python,https://github.com/arnelglez/restframework_api_paginate,287388acb981eacff41d239cdda3a1ceb939aaff,pip,pass,625,162346,1,16,28,128,8,31
python,https://github.com/sphinx-toolbox/default_values,76b3a044512a49d421d2d8376158527c5934cefd,pip,pass,633,162756,3,102,59,1854,8,31
python,https://github.com/FINNGEN/LOFanalysis,458307783773d6ad812da74f7204a9e2ec79e394,pip,pass,625,162420,1,21,37,136,8,31
python,https://github.com/talonx/classicalbot,7bd5b0caf6a11a590a9e91b40ecc669880d820a3,pip,pass,623,162091,1,35,21,118,8,31
python,https://github.com/asi-uniovi/conlloovia,6b6066c8732c043c6b42311a0ded12da702d8c80,pip,pass,640,164237,1,14,19,123,8,31
python,https://github.com/cloudspaceacademy/Flask-Calculator-app,37e30b84ab638513b19f646cf0fdb06a68510326,pip,pass,623,162053,1,7,18,112,8,31
python,https://github.com/farrelsheva/shopping_list,08427ba3ab31af07658c736993668fe33f6f7159,pip,pass,641,162397,1,17,26,126,8,31
