Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode
python,https://github.com/SuperteamDAO/solathon,73ec21eaf71f34892c5978e368a0eeb9212eec31,poetry,pass,19,1628
python,https://github.com/HongShi2333/E5,83c700cf6f3a28c6180c1cb486d44163d4ed4cc6,poetry,pass,3,142
python,https://github.com/mundari87/MCE310FallFinalProject,187e3e4d2b877553c72de5c7063933506d05334c,poetry,pass,1,39
python,https://github.com/FriendlyUser/stock_screener,a4d1cfafa6b621435aeb207ec30dc948732eaf3d,poetry,pass,12,597
python,https://github.com/Preetam-Das/.dotfiles,558a847957b97b1d70d0eec37640d6c5e369ff54,poetry,pass,5,161
python,https://github.com/arantesdv/spacestar,eed96ae1ffd3524ab847364f23e451ff3b4697ba,poetry,pass,10,385
python,https://github.com/BalaPriyan/Tih,7bf1e793177d38a6c2e62224f9c188dd16d456fa,poetry,pass,22,973
python,https://github.com/jackassmc/minecraft-jars-java-descriptions,5fbbdb32e1802c6230f4cc474d2d4afc7070b57b,poetry,pass,5,456
python,https://github.com/tonychg/NiftyMIC_GUI,a4fc9f59ecaab706109aedd8f625570a7e2ced4e,poetry,pass,8,492
python,https://github.com/sunlei/awesome-stars,3499d73b70f6c62cb27878de748d3aeb712f5198,poetry,pass,1,68
python,https://github.com/Matthew-Burkard/openrpc,a336a1c4b39ddbd476d8ea20eb7e061ec3080c03,poetry,pass,30,3153
python,https://github.com/zkemail/selector-scraper,350b8afbb181cb49de95c16294370afd53ba5ba2,poetry,pass,1,213
python,https://github.com/norbertnagy94/password_generator,3de89ba201edc32ce271bc8676b45bc0ef1f4ab3,poetry,pass,1,57
python,https://github.com/kholeur9/komo1App,83834d4289e724976bdc3c0f32ab138d52e106a0,poetry,pass,424,65900
python,https://github.com/boswellgathu/wc-pie,9018fda6d6465f19c0d70e2e4a335decff7ccfd5,poetry,pass,2,145
python,https://github.com/aos/casa,624f8e64b19a4ac3c54a7b2d72589661b5ac01db,poetry,pass,5,157
python,https://github.com/walterdaniel-sudo/Nomad_Airbnb_clone,ef82287254655cc41959b5f8a852ed6b6ea6f9bf,poetry,pass,18,313
python,https://github.com/lewis-munyi/avatars-as-a-service,3551c06da4e690f5ef2d376360c3633e6fcb3f74,poetry,pass,5,112
python,https://github.com/akashjpal/Pomodoro_Project_Django,05817b1ded6a759b64a20b01b99784d1c67706bf,poetry,pass,56,12823
python,https://github.com/fsimoes81/northwind_postgresql_docker,c46a266489e1013ec271f463331815396ab31c2b,poetry,pass,1,35
python,https://github.com/jkinney23/basic-django,9b2e9c071c9df5e0024bac171083b9ac6ff07bfa,poetry,pass,16,216
python,https://github.com/tetsuya-ki/discord-bot-heroku,0ba38a46457a8485dcadcb65327c45b6d972d2b1,poetry,pass,18,3215
python,https://github.com/TaiBIF/taicol-api-2021,0110f4207126a3e7746af9addcd22bf6c9a55971,poetry,pass,10,1345
python,https://github.com/Henxun/bang366,83c700cf6f3a28c6180c1cb486d44163d4ed4cc6,poetry,pass,3,142
