Language,GitURL,GitRef,BuildTool,BuildStatus,ErrorMessage
java,https://github.com/antlr/antlr4,d25d421780286e3de0714831a5f82eca59234249,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/justauth/JustAuth,c0ac81df08b72a6666d980df3755419cb723d80d,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/heibaiying/BigData-Notes,3898939aca387c25b3eb4e51ef49dfccca8543ed,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/thingsboard/thingsboard,db22c014bd293b50f6dcbdf496befbbeea02c2a1,maven,fail,Command 'mvn clean install' timed out after 1799.999983592017 seconds
java,https://github.com/alibaba/DataX,86b7935bb4c0570895e6ab97d4e2fe50435f50cb,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/dromara/Sa-Token,670cd4ae98e148b5f31bb6c71168ca5b35e1ea64,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/YunaiV/yudao-cloud,16c303bc28d454de0e7b4b7b8ce627c56a179a6b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/apache/hadoop,d72cdf7205c9e5310e832b2faa2e5b103f0804e0,maven,fail,Command 'mvn clean install' timed out after 1799.9999837889918 seconds
java,https://github.com/keycloak/keycloak,dacee3a36b8902408623b6a3927be6f87fc92edc,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/prestodb/presto,b715341d02a2fcbcebca2884d90faca55af11c11,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/zhisheng17/flink-learning,a941b297e85417914a5b7088eaa58dd860fe7d36,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/deeplearning4j/deeplearning4j,6082079d30bf877d6306b7db28dc11de5328635a,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/seaswalker/spring-analysis,4379cce848af96997a9d7ef91d594aa129be8d71,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/GoogleContainerTools/jib,440bd4897c6c427cc9a491128aa76c72378d605b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/sqshq/piggymetrics,6bb2cf9ddbca980b664d3edbb6ff775d75369278,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/quarkusio/quarkus,7d4f0c6528ee04777131022ab41fa7b3135d51cb,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/macrozheng/mall-learning,d119bd893bba22fb7f85270bb07595d5421f406d,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/projectlombok/lombok,6fbe057fb9842c424b47370efd249e42935e64e3,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/neo4j/neo4j,60f235e37443d4820c5c5c2a251a4096cf18a430,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/codecentric/spring-boot-admin,fc61fb554bd0c2ccfd984e99c2c3e2f0e9cade4f,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/apache/dolphinscheduler,4c56acb4677a163eb16389f1ce3c9407816fd29d,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/jfeinstein10/SlidingMenu,4254feca3ece9397cd501921ee733f19ea0fdad8,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/alibaba/COLA,ca12d5fb8a84c580c38e0a74f300720a2962f8db,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/square/javapoet,d682f2013751d25725349d79b449870d0e77354c,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/metersphere/metersphere,fe312b4aa6306e0ecc32b9560965458b9ccd53bc,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/apache/doris,0078a445d2c13ae14d003ce4c67f045ad3fcf5c3,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/TooTallNate/Java-WebSocket,9fad5bce9e34382ac2a9e0c5c470bf245dc77ba7,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/paascloud/paascloud-master,781281a9503332ed3cef44ea618349d14230a127,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/perwendel/spark,1973e402f5d4c1442ad34a1d38ed0758079f7773,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/openzipkin/zipkin,f2f9aac85579e685798b0bbb8e7c244c494a477f,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/apache/pulsar,e1d06b5f54f08c09debab7a9a513b7c173c1779b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/questdb/questdb,067742a946dbeae8780537c4f381c0005e19e698,maven,fail,Command 'mvn clean install' timed out after 1799.999983406975 seconds
java,https://github.com/apache/druid,3d1d26f8240b983a57e0c620a5a1620f34bf9733,maven,fail,Command 'mvn clean install' timed out after 1799.9999825289706 seconds
java,https://github.com/google/guice,e23d3b4369fbacfd7f077022c4dead4030e15f22,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/theonedev/onedev,21a7d2a6347ee660baf6b9be9fed9a3be5dd8c88,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/apache/zookeeper,75d0a0a850352743e584f78321cf7c51417f46f8,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/redis/jedis,ede63197b37052cca90a622f7f8edc5aaf137f36,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/MyCATApache/Mycat-Server,243539fb74bbdcb9819fecc7e7b50ccf0899e671,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/trinodb/trino,01595bde9ed7846914996dfcfcae35c0a5991d26,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/chrisbanes/Android-PullToRefresh,3bd8ef6869c3297bfe874d2f15c2ee53c3456e99,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/SonarSource/sonarqube,85d8a928ebbeeea8e5cd6e3b15b0f3361fe7a508,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/grpc/grpc-java,7eb24d6ff07b4731f08ee24b46c051097eaf066b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/macrozheng/mall-swarm,327fae09a841968d840b04b68ebc017f40eae9af,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/google/auto,fcca77401aa0cd400faa1e8bce5d5b58f81baecb,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/JakeWharton/ViewPagerIndicator,8cd549f23f3d20ff920e19a2345c54983f65e26b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/OpenRefine/OpenRefine,19d67b4169ed1b80a683fab0186fbbda50a9cc0f,maven,fail,Command 'mvn clean install' returned non-zero exit status 137.
java,https://github.com/chat2db/Chat2DB,e827babfe4396ea4433c51551819a1660cf7726c,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/spring-projects/spring-boot,75a89556599c7a9f9f84d1cbdff5058c8bb14aff,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/eugenp/tutorials,b21936b878974c9ff1c9e83d4563d78ae3ae97fe,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/redisson/redisson,7e5ed06fc4e66c07c3b139c4d58d253a2f6a1f78,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/oracle/graal,27dfe07b7d7cd3e01289d2c3ce9d80e053467740,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/dyc87112/SpringBoot-Learning,4212d163da816c6fa5b28d59130318dac2379a73,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/eclipse-vertx/vert.x,bb20fd51c3f680b9056a4c32ac63e09606d51e7f,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
