Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode,PackageCount,DependencyCount,QuickScanDuration,FullScanDuration,TotalCPUCores,TotalMemory
java,https://github.com/jlangch/venice,0e36d7cad24b0fc473ec6e4e07755a4fb13837d2,gradle,pass,805,131419,3,61,49,79,16,62
java,https://github.com/xenit-eu/helm-alfresco,5d91a205de2e577ddc7e6e78a6b8992c350a03bd,gradle,pass,9,352,1,38,22,36,16,62
java,https://github.com/kses1010/cs-hitchhiker,c34c4250eb3ed7d80a640f68029c52f9d589b21e,gradle,pass,281,10236,1,5,22,19,16,62
java,https://github.com/cjwon0827/zerobase_dividend_project,9adcfc7bedfb301c92f74325a337dad97b1b3b4f,gradle,pass,35,941,1,83,31,57,16,62
java,https://github.com/xenit-eu/contentgrid-hateoas,c86abd4c942467e07e2d4c0d0a3cce9a873b08e6,gradle,pass,58,2837,4,19,41,58,16,62
java,https://github.com/xenit-eu/contentgrid-spring,c8ce1dfeb94062411c4a6207d2d9e1ffe2627914,gradle,pass,184,10465,9,142,99,185,16,62
java,https://github.com/Dokcer-DevLink/auth-service,0d918d21871f103014bae9214bf44085c5c0ec55,gradle,pass,32,954,1,83,31,58,16,62
java,https://github.com/mm7274a00/questionnaire,1ab4a133223cd20ac02b2fda829c961065bc54ed,gradle,pass,24,1164,1,69,25,43,16,62
java,https://github.com/belletoile/java_skillbox,999c8c64258cc238212a2186a621ceabb353cd40,gradle,pass,116,3184,16,227,171,248,16,62
java,https://github.com/xmlobjects/gml-objects,b427bcb2e41bbf380c79c0d612442c4560f615b5,gradle,pass,438,16219,1,4,26,31,16,62
java,https://github.com/capdevon/Archer-Game-Template2,acddd88186896c7ecb1dfff4ba5de5c4d790f565,gradle,pass,84,7219,3,13,39,44,16,62
java,https://github.com/admzkry9/CO3095-Group1-repos,fef5bfc559bb55398d99f891aa7f9c655ab96395,gradle,pass,50,1513,1,64,27,45,16,62
java,https://github.com/Anastasiyaa18/Patterns_2,c30c74a96469fb145cfc541252e38eb8383dc3c2,gradle,pass,2,126,1,1,22,24,16,62
java,https://github.com/marinstrba/DiscordBot,645481ffec35a3cfd781b8d9304bf07cc6c2cec7,gradle,pass,8,205,1,16,19,26,16,62
java,https://github.com/linrider/delivery,f7fb6e4c3c5977f864c38cac54f939673a06dbb2,gradle,pass,13,238,1,67,28,47,16,62
java,https://github.com/sukangpunch/appcenter-gitaction,658c404a44b58ba2d9ed1107923003192f321e2b,gradle,pass,18,637,1,83,30,46,16,62
java,https://github.com/antibiotikts/JSONTestBuilder,1df87da45ef93671b789b664bbadbcc39345bf05,gradle,pass,33,1195,1,78,50,60,16,62
java,https://github.com/JuJaeng2/stockAPI,f6ef9725f1669d4fd0ef91b5a349c2be58915531,gradle,pass,35,943,1,83,29,58,16,62
java,https://github.com/Tokagero8/HashLab,2247f5a6cf22a0e16a788bea583fcfe01bdc0d89,gradle,pass,26,299,1,4,18,24,16,62
java,https://github.com/lielocks/spring_batch_kafka,660ca8c31af4931d9f2d5b4672a9a4f0bb56ccfc,gradle,pass,16,437,1,57,23,42,16,62
